,slide_id,case_id,magnification,level_downsamples
712,TCGA-HT-A4DV-01Z-00-DX2.702EF31E-4E34-482D-AE05-3EDEED527CAA,TCGA-HT-A4DV,40x,"(1.0, 4.000040180006429, 16.000160720025715, 32.00546623794212)"
713,TCGA-HT-A5R5-01Z-00-DX1.4C1365AB-C04C-4E31-B759-031060F2473A,TCGA-HT-A5R5,40x,"(1.0, 4.000054606017583, 16.000655307994755, 32.00131061598951)"
714,TCGA-HT-A5R7-01Z-00-DX1.710C776B-5420-42E6-8D40-C5C36D1CA603,TCGA-HT-A5R7,40x,"(1.0, 4.0, 16.000544588155208, 32.00326797385621)"
715,TCGA-HT-A5R9-01Z-00-DX1.B3EA778F-A070-4DFA-B07C-8C18B948C7F1,TCGA-HT-A5R9,40x,"(1.0, 4.000066431940477, 16.000797236247674, 32.005847953216374)"
716,TCGA-HT-A5RA-01Z-00-DX1.F5DA3E78-30A6-41C5-9B50-410E795EF591,TCGA-HT-A5RA,40x,"(1.0, 4.000083509631445, 16.00176953247592, 32.00571786249763)"
717,TCGA-HT-A5RB-01Z-00-DX1.6928817C-E954-4245-85D4-90D4501E2424,TCGA-HT-A5RB,40x,"(1.0, 4.000090541437798, 16.002847694688633, 32.01370876251869)"
718,TCGA-HT-A5RC-01Z-00-DX1.6E1C0CF0-7D7D-4F5B-8D65-451AA9AE8B61,TCGA-HT-A5RC,40x,"(1.0, 4.000078031524736, 16.001560874089492, 32.01023367420659)"
719,TCGA-HT-A614-01Z-00-DX1.B2D270F0-8C0B-4FBE-B794-3493443E47C5,TCGA-HT-A614,40x,"(1.0, 4.0, 16.00047203209818, 32.00729212940374)"
720,TCGA-HT-A615-01Z-00-DX1.454CE5AA-213B-4479-B6B9-4CEAB6EC951A,TCGA-HT-A615,40x,"(1.0, 4.000083294882398, 16.00135655916145, 32.00842584579603)"
721,TCGA-HT-A616-01Z-00-DX1.5B0373D5-0979-4C1B-B9CA-08DFDCC9057B,TCGA-HT-A616,40x,"(1.0, 4.0, 16.0, 32.004884004884005)"
722,TCGA-HT-A617-01Z-00-DX1.5865A8D2-3251-4D1C-B093-334C65ACC7A5,TCGA-HT-A617,40x,"(1.0, 4.0, 16.001325796165588, 64.02074906262632)"
723,TCGA-HT-A618-01Z-00-DX1.A79863B5-6AF4-43AF-8B34-9C16DC2FCDE1,TCGA-HT-A618,40x,"(1.0, 4.00003352105122, 16.00013408420488, 32.004560085836914)"
